fpr,tpr
0.28916920096078463,0.7825040636676448
0.29655236126300233,0.7890692617846362
0.3021427893714451,0.7937767832640223
0.3060403589459334,0.7973865867302781
0.31237484582003766,0.8021152181714551
0.3181924865045717,0.8067382998036774
0.32268929803798196,0.810390323193515
0.32732343585364515,0.8139579067361888
0.3329712913164847,0.8179687994764729
0.3386615930847478,0.8218108125224294
0.343148417252176,0.8253150661797302
0.348946083204746,0.8289881995313588
0.3541270293079255,0.8324713432268688
0.3605838614153096,0.8372421945916277
0.36751009972384935,0.8414852969116126
0.3734525824831588,0.8453906398429419
0.3798569809191373,0.8489582233856157
0.3873150464662202,0.8537712946739566
0.39440108263047247,0.8575288678727492
0.4021013418026197,0.862384159084672
0.40736718051664644,0.8652128939646619
0.41180157101266895,0.8671127905258491
0.41694256765192034,0.869941525405839
0.42576141181405525,0.8746068269616432
0.43371884566023977,0.8786810495873002
0.4404653113811029,0.8819742036266914
0.4490644334916331,0.8858584365962298
0.45689452842154676,0.8899326592218868
0.4673962437516542,0.8941335416182896
0.47286182978532154,0.8967300669185789
0.48093162149880403,0.9001076608051339
0.4913309663275956,0.9047940723227291
0.5017752543033063,0.9088260750248042
0.5128911926413088,0.9130058474594162
0.5176651535807204,0.9146735344409027
0.5296499927591597,0.91919106626417
0.5375100497870194,0.9218298114880412
0.557986646891682,0.928183909987123
0.5673048593529185,0.9309915349053218
0.57672044863248,0.934263578982922
0.584812711919422,0.9366490046653015
0.5953144272495293,0.9397099491249921
0.6206299031724868,0.9461484874712377
0.6325148686911057,0.9487450127715269
0.6461950632449951,0.9518059572312174
0.6614582553070366,0.95556353043001
0.6834629194069503,0.9605454814126786
0.7195972095299447,0.9675117688036985
0.7463258977393598,0.9722615102066665
0.7646577079993808,0.9751746849338203
0.8070041397631995,0.9816132232800658
0.8733252435668879,0.9892972493719786
1.0,1.0
