year,primary_topic,topic_bucket,count
2003,Data Analysis with R,Applied / Interdisciplinary AI,113
2003,Data Stream Mining Techniques,Applied / Interdisciplinary AI,60
2003,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,17
2003,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,9
2003,Edcuational Technology Systems,Applied / Interdisciplinary AI,19
2003,Educational Robotics and Engineering,Robotics,1214
2003,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,6
2003,Evolutionary Algorithms and Applications,ML Theory & Optimization,1086
2003,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,5
2003,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,6
2003,Fuzzy Logic and Control Systems,Robotics,1320
2003,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,47
2003,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1003
2003,Hate Speech and Cyberbullying Detection,NLP,57
2003,Imbalanced Data Classification Techniques,Core ML / Deep Learning,66
2003,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,290
2003,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,246
2003,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,25
2003,"Law, AI, and Intellectual Property",AI Ethics & Fairness,116
2003,Linguistic Studies and Language Acquisition,NLP,624
2003,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,975
2003,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1519
2003,Machine Learning and Algorithms,Core ML / Deep Learning,401
2003,Machine Learning and Data Classification,Core ML / Deep Learning,115
2003,Machine Learning and ELM,Core ML / Deep Learning,19
2003,Machine Learning in Healthcare,Core ML / Deep Learning,42
2003,Mathematical Control Systems and Analysis,Robotics,106
2003,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,602
2003,Multi-Agent Systems and Negotiation,Reinforcement Learning,1125
2003,Natural Language Processing Techniques,NLP,1851
2003,Neural Networks and Applications,Core ML / Deep Learning,4439
2003,Neural Networks and Reservoir Computing,Core ML / Deep Learning,79
2003,Organizational and Employee Performance,Applied / Interdisciplinary AI,8
2003,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,61
2003,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,95
2003,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,705
2003,Quantum Information and Cryptography,ML Theory & Optimization,1588
2003,Reinforcement Learning in Robotics,Robotics,299
2003,Security and Verification in Computing,Applied / Interdisciplinary AI,365
2003,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,285
2003,Semantic Web and Ontologies,NLP,1665
2003,Sentiment Analysis and Opinion Mining,NLP,8
2003,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,171
2003,Speech Recognition and Synthesis,NLP,1030
2003,Speech and dialogue systems,NLP,679
2003,Statistical and Computational Modeling,Applied / Interdisciplinary AI,157
2003,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,14
2003,Target Tracking and Data Fusion in Sensor Networks,Robotics,818
2003,Text Readability and Simplification,NLP,67
2003,Text and Document Classification Technologies,NLP,254
2003,Topic Modeling,NLP,269
2003,Wireless Signal Modulation Classification,Core ML / Deep Learning,49
2004,AI and Multimedia in Education,Applied / Interdisciplinary AI,2
2004,AI in Service Interactions,Applied / Interdisciplinary AI,46
2004,AI in cancer detection,Healthcare AI,320
2004,AI-based Problem Solving and Planning,Robotics,421
2004,Advanced Clustering Algorithms Research,Core ML / Deep Learning,304
2004,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,564
2004,Advanced Graph Neural Networks,Core ML / Deep Learning,4
2004,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1361
2004,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,3
2004,Advanced Text Analysis Techniques,NLP,253
2004,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,14
2004,Algorithms and Data Compression,ML Theory & Optimization,1034
2004,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,192
2004,Artificial Intelligence Applications,Applied / Interdisciplinary AI,29
2004,Artificial Intelligence in Games,Applied / Interdisciplinary AI,263
2004,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,63
2004,Bayesian Methods and Mixture Models,ML Theory & Optimization,507
2004,Bayesian Modeling and Causal Inference,ML Theory & Optimization,558
2004,Coding theory and cryptography,ML Theory & Optimization,804
2004,Cognitive Computing and Networks,Applied / Interdisciplinary AI,118
2004,Cognitive Science and Mapping,Applied / Interdisciplinary AI,297
2004,Computational Physics and Python Applications,Applied / Interdisciplinary AI,403
2004,Computer Science and Engineering,Applied / Interdisciplinary AI,39
2004,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,360
2004,Cryptography and Data Security,Applied / Interdisciplinary AI,812
2004,Data Analysis with R,Applied / Interdisciplinary AI,111
2004,Data Stream Mining Techniques,Applied / Interdisciplinary AI,84
2004,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,21
2004,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,13
2004,Edcuational Technology Systems,Applied / Interdisciplinary AI,27
2004,Educational Robotics and Engineering,Robotics,1746
2004,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,5
2004,Evolutionary Algorithms and Applications,ML Theory & Optimization,976
2004,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,4
2004,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,8
2004,Fuzzy Logic and Control Systems,Robotics,930
2004,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,53
2004,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,981
2004,Hate Speech and Cyberbullying Detection,NLP,78
2004,Imbalanced Data Classification Techniques,Core ML / Deep Learning,93
2004,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,342
2004,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,294
2004,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,39
2004,"Law, AI, and Intellectual Property",AI Ethics & Fairness,130
2004,Linguistic Studies and Language Acquisition,NLP,682
2004,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,835
2004,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1233
2004,Machine Learning and Algorithms,Core ML / Deep Learning,345
2004,Machine Learning and Data Classification,Core ML / Deep Learning,135
2004,Machine Learning and ELM,Core ML / Deep Learning,13
2004,Machine Learning in Healthcare,Core ML / Deep Learning,32
2004,Mathematical Control Systems and Analysis,Robotics,95
2004,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,684
2004,Multi-Agent Systems and Negotiation,Reinforcement Learning,1130
2004,Natural Language Processing Techniques,NLP,2264
2004,Neural Networks and Applications,Core ML / Deep Learning,2659
2004,Neural Networks and Reservoir Computing,Core ML / Deep Learning,65
2004,Organizational and Employee Performance,Applied / Interdisciplinary AI,15
2004,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,114
2004,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,82
2004,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,775
2004,Quantum Information and Cryptography,ML Theory & Optimization,1689
2004,Reinforcement Learning in Robotics,Robotics,297
2004,Security and Verification in Computing,Applied / Interdisciplinary AI,319
2004,Seismology and Earthquake Studies,Applied / Interdisciplinary AI,220
2004,Semantic Web and Ontologies,NLP,2035
2004,Sentiment Analysis and Opinion Mining,NLP,19
2004,Solar Radiation and Photovoltaics,Applied / Interdisciplinary AI,220
2004,Speech Recognition and Synthesis,NLP,909
2004,Speech and dialogue systems,NLP,737
2004,Statistical and Computational Modeling,Applied / Interdisciplinary AI,114
2004,Stochastic Gradient Optimization Techniques,ML Theory & Optimization,10
2004,Target Tracking and Data Fusion in Sensor Networks,Robotics,710
2004,Text Readability and Simplification,NLP,51
2004,Text and Document Classification Technologies,NLP,318
2004,Topic Modeling,NLP,301
2004,Wireless Signal Modulation Classification,Core ML / Deep Learning,43
2005,AI and Multimedia in Education,Applied / Interdisciplinary AI,1
2005,AI in Service Interactions,Applied / Interdisciplinary AI,28
2005,AI in cancer detection,Healthcare AI,487
2005,AI-based Problem Solving and Planning,Robotics,711
2005,Advanced Clustering Algorithms Research,Core ML / Deep Learning,350
2005,Advanced Computational Techniques and Applications,Applied / Interdisciplinary AI,752
2005,Advanced Graph Neural Networks,Core ML / Deep Learning,10
2005,Advanced Software Engineering Methodologies,Applied / Interdisciplinary AI,1558
2005,Advanced Technologies in Various Fields,Applied / Interdisciplinary AI,5
2005,Advanced Text Analysis Techniques,NLP,313
2005,Adversarial Robustness in Machine Learning,Core ML / Deep Learning,18
2005,Algorithms and Data Compression,ML Theory & Optimization,1252
2005,Anomaly Detection Techniques and Applications,Applied / Interdisciplinary AI,272
2005,Artificial Intelligence Applications,Applied / Interdisciplinary AI,32
2005,Artificial Intelligence in Games,Applied / Interdisciplinary AI,300
2005,Authorship Attribution and Profiling,Applied / Interdisciplinary AI,71
2005,Bayesian Methods and Mixture Models,ML Theory & Optimization,636
2005,Bayesian Modeling and Causal Inference,ML Theory & Optimization,666
2005,Coding theory and cryptography,ML Theory & Optimization,1117
2005,Cognitive Computing and Networks,Applied / Interdisciplinary AI,116
2005,Cognitive Science and Mapping,Applied / Interdisciplinary AI,310
2005,Computational Physics and Python Applications,Applied / Interdisciplinary AI,331
2005,Computer Science and Engineering,Applied / Interdisciplinary AI,30
2005,Cryptographic Implementations and Security,Applied / Interdisciplinary AI,475
2005,Cryptography and Data Security,Applied / Interdisciplinary AI,1026
2005,Data Analysis with R,Applied / Interdisciplinary AI,110
2005,Data Stream Mining Techniques,Applied / Interdisciplinary AI,126
2005,Diverse Interdisciplinary Research Studies,Applied / Interdisciplinary AI,28
2005,Domain Adaptation and Few-Shot Learning,Applied / Interdisciplinary AI,9
2005,Edcuational Technology Systems,Applied / Interdisciplinary AI,15
2005,Educational Robotics and Engineering,Robotics,2043
2005,Educational Technology and Pedagogy,Applied / Interdisciplinary AI,14
2005,Evolutionary Algorithms and Applications,ML Theory & Optimization,1026
2005,Experience-Based Knowledge Management,Applied / Interdisciplinary AI,8
2005,Explainable Artificial Intelligence (XAI),AI Ethics & Fairness,15
2005,Fuzzy Logic and Control Systems,Robotics,1225
2005,Gaussian Processes and Bayesian Inference,ML Theory & Optimization,86
2005,Geochemistry and Geologic Mapping,Applied / Interdisciplinary AI,1265
2005,Hate Speech and Cyberbullying Detection,NLP,64
2005,Imbalanced Data Classification Techniques,Core ML / Deep Learning,124
2005,Intelligent Tutoring Systems and Adaptive Learning,Applied / Interdisciplinary AI,342
2005,Internet Traffic Analysis and Secure E-voting,Applied / Interdisciplinary AI,336
2005,Intuitionistic Fuzzy Systems Applications,Applied / Interdisciplinary AI,24
2005,"Law, AI, and Intellectual Property",AI Ethics & Fairness,103
2005,Linguistic Studies and Language Acquisition,NLP,633
2005,"Logic, Reasoning, and Knowledge",Applied / Interdisciplinary AI,1137
2005,"Logic, programming, and type systems",Applied / Interdisciplinary AI,1846
2005,Machine Learning and Algorithms,Core ML / Deep Learning,423
2005,Machine Learning and Data Classification,Core ML / Deep Learning,198
2005,Machine Learning and ELM,Core ML / Deep Learning,24
2005,Machine Learning in Healthcare,Core ML / Deep Learning,54
2005,Mathematical Control Systems and Analysis,Robotics,119
2005,Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,834
2005,Multi-Agent Systems and Negotiation,Reinforcement Learning,1173
2005,Natural Language Processing Techniques,NLP,2158
2005,Neural Networks and Applications,Core ML / Deep Learning,3679
2005,Neural Networks and Reservoir Computing,Core ML / Deep Learning,85
2005,Organizational and Employee Performance,Applied / Interdisciplinary AI,18
2005,Privacy-Preserving Technologies in Data,AI Ethics & Fairness,152
2005,"Psychiatry, Mental Health, Neuroscience",Healthcare AI,89
2005,Quantum Computing Algorithms and Architecture,ML Theory & Optimization,843
2005,Quantum Information and Cryptography,ML Theory & Optimization,2159
2005,Reinforcement Learning in Robotics,Robotics,307
2005,Security and Verification in Computing,Applied / Interdisciplinary AI,444
