year,institution_type,paper_institution_rows,unique_papers,unique_institutions,median_fwci,mean_fwci,median_citation_velocity,mean_citation_velocity
2008,Other,12754,9249,3106,1.1441,3.207178637937118,0.3684210526315789,1.54299167237523
2008,University,44285,31679,3711,1.1128,3.046322541447443,0.3157894736842105,1.4528490697218377
2009,Business,1682,1461,212,1.7366,4.3719842930796675,0.6111111111111112,2.610186286167261
2009,Government,1138,1072,222,0.5789,2.342088926186292,0.2777777777777778,1.3697031829720758
2009,Healthcare,594,543,338,0.8704,2.713440882760943,0.3333333333333333,2.037785260007482
2009,Nonprofit,1584,1443,406,0.9057,3.5630113235353535,0.3888888888888889,2.378507295173962
2009,Other,13460,9670,3169,0.8724,2.6780655995683507,0.3333333333333333,1.62555720653789
2009,University,48220,34487,3898,0.8724,2.562549275695562,0.3333333333333333,1.6505507166228859
2010,Business,1666,1483,216,1.3531,3.8950211151320526,0.5294117647058824,2.282501235788433
2010,Government,1155,1068,206,0.8496,3.089463013090909,0.2941176470588235,2.0058568882098298
2010,Healthcare,668,598,391,0.4664,2.161069714041916,0.2352941176470588,3.8328636843959134
2010,Nonprofit,1606,1484,412,1.1328,3.761629438617684,0.4705882352941176,2.117866822943374
2010,Other,14725,10575,3332,0.9021,2.75274876836129,0.3529411764705882,1.7326275841406171
2010,University,51738,36686,4269,0.8496,2.5045429183082066,0.2941176470588235,1.4671762477459962
2011,Business,1691,1476,221,1.2827,4.551545798817268,0.5,2.9612655233589593
2011,Government,1231,1139,230,0.7442,2.595695184947197,0.3125,1.457757920389927
2011,Healthcare,682,585,407,0.8552,2.8648143461730204,0.3125,1.749266862170088
2011,Nonprofit,1713,1571,442,0.8771,3.3255158480035023,0.375,2.3057136602451838
2011,Other,14837,10666,3394,0.8552,2.9098953708330524,0.375,1.8928228415447867
2011,University,53019,37708,4436,0.7453,2.5054874302574546,0.3125,1.5466648748561835
2012,Business,1884,1645,244,1.26925,4.626523906311041,0.6,5.937685774946922
2012,Government,1217,1134,233,0.8563,2.61568244705834,0.3333333333333333,1.6368666118871542
2012,Healthcare,844,731,436,0.8563,2.354511928933649,0.3333333333333333,1.4456556082148497
2012,Nonprofit,1893,1726,481,0.8843,3.618628375520338,0.4666666666666667,2.372812114808945
2012,Other,16829,11772,3804,0.8843,2.757960125961733,0.4,2.9110464079862144
2012,University,56322,39498,4678,0.8563,2.608327808610312,0.3333333333333333,2.0761869251802136
2013,Business,1789,1567,248,1.4824,5.5383703194130804,0.7142857142857143,5.267707418350235
2013,Government,1248,1162,232,0.9883,2.981827200761218,0.4285714285714285,1.6342147435897436
2013,Healthcare,808,708,463,0.49795,2.8227694777227725,0.2857142857142857,1.9558875530410185
2013,Nonprofit,1941,1780,527,0.9885,3.277069037738279,0.5,1.811327003753588
2013,Other,17208,12143,3844,0.9883,3.146692911109949,0.4285714285714285,1.8379159195058776
2013,University,58956,40613,4918,0.9618,2.9228140973922923,0.3571428571428571,1.781659203473777
2014,Business,2169,1883,290,1.227,5.4074610380267405,0.6923076923076923,5.578146611341632
2014,Government,1470,1373,271,0.8457,2.679955447442177,0.3846153846153846,1.6657770800627942
2014,Healthcare,1050,905,526,0.4229,2.4124341901523807,0.3076923076923077,1.6835164835164835
2014,Nonprofit,2172,2007,535,0.8457,3.1404885640745857,0.4615384615384615,2.375478113047174
2014,Other,19275,13361,4090,0.8457,2.828629152952529,0.4615384615384615,1.987776114935648
2014,University,65072,44336,5178,0.818,2.793625233548838,0.3846153846153846,2.181537373985739
