primary_topic,paper_count,mean_fwci,median_fwci,mean_citation_velocity,median_velocity,mean_citation_count,topic_bucket,early_count,late_count,growth,entropy_family
Security and Verification in Computing,20428,2.1930347493215194,0.4569,1.42853180784436,0.3888888888888889,17.26282553358136,Artificial Intelligence,1867.0,7544.0,4.039079229122056,Artificial Intelligence
Seismology and Earthquake Studies,17284,0.8941366277516778,0.0,0.8549931112967407,0.0,7.717195093728304,Artificial Intelligence,1479.0,8760.0,5.919594594594595,Artificial Intelligence
Semantic Web and Ontologies,74773,1.3655629009958141,0.1387,0.7348597333312188,0.1363636363636363,10.44201784066441,Artificial Intelligence,9593.0,18191.0,1.8961851156973109,Artificial Intelligence
Sentiment Analysis and Opinion Mining,41916,1.9592348124205554,0.39,2.0798951197051294,0.5,17.655549193625347,Artificial Intelligence,84.0,27433.0,322.7529411764706,Artificial Intelligence
Solar Radiation and Photovoltaics,26529,2.083086763614158,0.4276,2.0536966536316803,0.5,17.359945719778356,Artificial Intelligence,1097.0,14776.0,13.458105646630237,Artificial Intelligence
Speech Recognition and Synthesis,52506,1.5471732536782463,0.3363,1.3199362327616961,0.2666666666666666,13.535176932160134,Artificial Intelligence,6524.0,23323.0,3.57455938697318,Artificial Intelligence
Speech and dialogue systems,24070,1.2903523651200666,0.1746,0.7915787046107573,0.1739130434782608,10.320772746157042,Artificial Intelligence,4111.0,8354.0,2.0318579766536966,Artificial Intelligence
Statistical and Computational Modeling,8109,0.45685183170921195,0.0,0.3648904585517101,0.0,4.611789369835985,Artificial Intelligence,846.0,3172.0,3.7461629279811097,Artificial Intelligence
Stochastic Gradient Optimization Techniques,10911,1.0988662518009347,0.0,2.9170393773079857,0.2,26.755017871872422,Artificial Intelligence,102.0,7454.0,72.37864077669903,Artificial Intelligence
Target Tracking and Data Fusion in Sensor Networks,33985,1.4261743386446961,0.4261,1.116248503130845,0.2727272727272727,14.36669118728851,Artificial Intelligence,4434.0,9966.0,2.247350620067644,Artificial Intelligence
Text Readability and Simplification,6967,1.1447990503817997,0.0,1.11781473375899,0.2,9.176115975312186,Artificial Intelligence,286.0,4233.0,14.752613240418118,Artificial Intelligence
Text and Document Classification Technologies,21021,1.557872313297179,0.3429,1.5152963832477082,0.3076923076923077,16.069026211883354,Artificial Intelligence,1349.0,9395.0,6.96,Artificial Intelligence
Topic Modeling,107321,2.100588108570177,0.1372,2.584034985394644,0.4285714285714285,19.04115690312241,Artificial Intelligence,1428.0,78825.0,55.16165150454864,Artificial Intelligence
Wireless Signal Modulation Classification,11555,1.635217897221982,0.3862,1.9860377163570628,0.5,13.618347035915189,Artificial Intelligence,264.0,8365.0,31.569811320754717,Artificial Intelligence
